County,Target_Facilities,Coverage_Total_Assessed,Facilities_Completed,Facilities_Closed
Bomet,206,188,100,6
Kericho,286,261,204,24
Machakos,494,505,359,48
Meru,591,539,432,80
Turkana,283,251,218,8
Kitui,447,427,346,61
Makueni,355,350,278,54
Narok,221,224,178,24
Taita Taveta,136,126,111,13
Isiolo,82,82,67,13
Nyeri,452,489,370,93
Nairobi,1319,1367,1081,143
Kiambu,748,754,621,112
Siaya,293,266,246,18
Kirinyaga,230,236,194,36
Garissa,206,210,174,30
Mandera,216,205,185,8
Nandi,256,247,220,18
Nakuru,645,686,557,81
Muranga,387,473,335,113
West Pokot,179,160,155,1
Homa Bay,406,392,352,27
Kisii,296,290,258,15
Laikipia,220,220,192,19
Trans Nzoia,195,189,173,8
Tharaka Nithi,202,191,180,5
Samburu,142,155,127,21
Mombasa,378,443,341,73
Bungoma,283,282,256,13
Migori,334,376,304,53
Uasin Gishu,283,292,258,21
Lamu,71,76,65,3
Embu,211,212,194,14
Wajir,175,178,161,0
Busia,188,184,174,0
Baringo,296,306,277,19
Tana River,96,108,90,14
Marsabit,147,147,139,0
Kajiado,352,405,333,38
Nyandarua,194,254,185,42
Kilifi,394,435,377,26
Kakamega,362,372,354,11
Nyamira,202,224,199,16
Elgeyo Marakwet,147,152,145,6
Kisumu,373,443,380,41
Vihiga,155,209,174,32
Kwale,232,302,265,24
