County,Projected_Population_2025
Nairobi,4906000
Kiambu,2754000
Nakuru,2445000
Kakamega,2073000
Bungoma,1845000
Meru,1666000
Kilifi,1637000
Machakos,1518000
Kisii,1370000
Mombasa,1368000
Narok,1355000
Kajiado,1328000
Uasin Gishu,1307000
Migori,1292000
Kisumu,1290000
Homa Bay,1278000
Kitui,1259000
Murang’a,1136000
Trans Nzoia,1108000
Siaya,1097000
Turkana,1074000
Makueni,1065000
Mandera,1007000
Busia,1006000
Kwale,988000
Nandi,982000
Kericho,980000
Garissa,971000
Bomet,965000
Wajir,915000
Nyeri,863000
Baringo,764000
Nyandarua,721000
West Pokot,706000
Nyamira,665000
Kirinyaga,664000
Embu,662000
Vihiga,636000
Laikipia,583000
Marsabit,539000
Elgeyo Marakwet,509000
Tharaka Nithi,425000
Taita Taveta,373000
Tana River,370000
Samburu,367000
Isiolo,330000
Lamu,176000
