County,Ever_(%),Number_of_women
Mombasa,9.8,500
Kwale,4.3,264
Kilifi,12.2,491
Tana River,2.3,81
Lamu,14.5,51
Taita/Taveta,14,110
Garissa,5.8,148
Wajir,1.5,84
Mandera,0.8,104
Marsabit,1,68
Isiolo,9.2,69
Meru,16,547
Tharaka-Nithi,12.5,146
Embu,21.5,207
Kitui,0.9,391
Machakos,6.3,515
Makueni,4.7,362
Nyandarua,17.5,222
Nyeri,15.1,276
Kirinyaga,12.9,263
Murang’a,24.3,359
Kiambu,16.6,1091
Turkana,10.8,176
West Pokot,7.5,205
Samburu,6.9,87
Trans Nzoia,13.1,351
Uasin Gishu,9.9,495
Elgeyo/Marakwet,6.9,119
Nandi,6,334
Baringo,8.4,207
Laikipia,10.9,175
Nakuru,13.8,898
Narok,17.5,376
Kajiado,16.9,471
Kericho,3.2,386
Bomet,12.9,369
Kakamega,16.8,707
Vihiga,11.9,195
Bungoma,30.3,623
Busia,14.7,309
Siaya,5.7,291
Kisumu,10.8,420
Homa Bay,23.1,352
Migori,16.7,364
Kisii,16,404
Nyamira,14.5,176
Nairobi City,12.2,2088
Total,13,16926
